Name,lat,lon,Routes
Irving Park Brown Line Station,41.954102727,-87.67486629,80
63rd Street & Woodlawn,41.780460051999995,-87.59628913600001,63
Foster & Long,41.975095,-87.762865,92
26th Street & Albany,41.844495,-87.702673999,60
Montrose & Kilbourn,41.960714416,-87.74118034799999,78
Irving Park & Menard,41.953018473,-87.772007484,80
Roosevelt & Ashland,41.866733533,-87.665878888,12
Irving Park & Sheridan,41.954418545,-87.654688043,80
Belmont & Sheridan,41.94004911,-87.639772408,"77,151,156"
Fullerton & Sacramento,41.924702,-87.702422001,74
47th Street & Homan,41.808004274,-87.70849809399999,47
Belmont & Central Park,41.939148529,-87.71746099200001,77
Madison & Cicero,41.880392368,-87.744967805,20
115th Street & Homan,41.684124635,-87.705526659,52A
Central & Irving Park,41.953320856,-87.767095883,85
Cermak & Michigan,41.852748706999996,-87.62354146700001,"3,21"
Jackson & Halsted,41.877889802,-87.646966577,126
55th Street & Menard,41.792578000000006,-87.767290999,"55A,55N"
Roosevelt & Clark,41.867489773,-87.630837784,"12,18,N62"
Van Buren & Ogden,41.87632903,-87.671876466,126
51st Street & State,41.802016113,-87.625698772,15
Grand & Fairbanks/Columbus,41.891861999999996,-87.620009,"2,29,65,66"
67th Street & St. Lawrence,41.773115976999996,-87.610392854,"N5,67"
Taylor & Loomis,41.869396877,-87.66149317899999,157
Illinois & Clark,41.890758,-87.631278999,65
Montrose & Central,41.960415254000004,-87.767368014,78
Pulaski & 107th Street,41.698652,-87.72067,53A
Cottage Grove & 101st Street,41.710963773,-87.605808734,"4,115"
Northwest Hwy & Oketo,41.999928976999996,-87.81160016700001,68
Halsted & 52nd Street,41.799837144,-87.645393383,8
Halsted & 60th Street,41.785302308,-87.64501719100001,8
Central Park & 18th Street,41.857221,-87.71522,82
Western & Arthur,41.999618,-87.689998999,49B
Kedzie & 15th Street,41.861232001,-87.705443,52
Kimball & Dickens,41.919084000000005,-87.711854,82
Narragansett & Waveland,41.947403,-87.786241999,86
Damen & Hubbard,41.889636001,-87.676785,50
Central & Schubert,41.929361001,-87.766099,85
Kedzie & 62nd Street,41.780712499,-87.70312583,"52,52A"
Cicero & 64th Street,41.776433532,-87.742070266,"54B,165"
Cicero & 46th Street,41.809367492,-87.74301803600001,54B
Stony Island & 64th Street,41.778764028000005,-87.58633138100001,"6,15,28"
Pulaski & Altgeld,41.92623003,-87.72672262399999,53
Cicero & 65th Street,41.774691361,-87.741993155,54B
Sacramento & Ohio,41.891803151,-87.70190198,94
Harlem & 61st Street,41.780856,-87.800915,62H
Sedgwick & Eugenie,41.912757599,-87.63856635100001,37
Ewing & 110th Street,41.695362209,-87.535164296,30
King Drive & 85th Street,41.740209332,-87.614471621,3
Damen & Cortland,41.915875638,-87.677499269,50
8200 N Niles Center,42.02977215,-87.75331606600001,97
5061 N Pulaski,41.973521999999996,-87.728019999,53
5300 N Pulaski,41.977570512,-87.728195411,53
Cicero & Pershing,41.822327243000004,-87.74336636,54B
Pulaski & Erie,41.892735409000004,-87.725904162,53
Ridgeland & Iowa,41.896298,-87.784802,86
Pulaski & 82nd Street,41.743957428,-87.721536451,53A
Austin & Cornelia,41.943845,-87.776348,91
State & 40th Street,41.821713001,-87.62629,29
Harlem & Summerdale,41.977795365,-87.80689258700001,90
King Drive & 86th Street,41.738367331999996,-87.614405623,3
Cicero & Cornelia,41.944617708,-87.74688435,54
Austin & Cullom,41.95843,-87.776883001,91
Central & Catalpa,41.981033001,-87.768304999,"85,85A"
Pulaski & 30th Street,41.838635,-87.724319,53
Grant & Grey,42.059086623,-87.702116212,205
Lawrence & Courtland,41.966575485999996,-87.83147139299999,81W
69th Street & Peoria,41.768749015,-87.647040725,67
65th Street & Central,41.77429632,-87.76168061799999,165
Kimball & Palmer,41.92109,-87.712057999,82
Ridge & Wayne,41.985575158,-87.663124037,84
Ashland & Pershing,41.823426213000005,-87.665264813,"9,X9"
Archer & Cicero,41.798731742,-87.743336489,"62,62H"
Racine & 47th Street,41.808540916,-87.655330464,44
Broadway & Bryn Mawr/Ridge,41.983869613,-87.660185885,36
Broadway & Wellington,41.936578999999995,-87.644362,36
69th Street & State (Red Line),41.76910793,-87.62527051100001,169
Jackson & Hamlin,41.877210504000004,-87.721048023,126
Addison & Laramie,41.946016801999995,-87.75675318799999,152
Addison & St. Louis,41.946593704,-87.715061375,152
Canal & 26th Street,41.845603091,-87.638245702,44
Michigan & Jackson,41.878135001,-87.624193,"3,4,6,J14,26,143"
Cicero & Wellington,41.935106737,-87.746597076,54
California & 63rd Street,41.779276137,-87.693326561,94
Ashland & 81st Street,41.746924752,-87.663216604,9
